,<1,<1.1,<5,<5.1,<5.2,<5.3,TiO2,La2O3,B2O3,SiO2,ZrO2,Nb2O5,CaO,BaO,Other species,ZnO,Unnamed: 4,Al2O3,SrO,SiO2/,BaO.1,ZnO/,SiO2.1,ZnO +,BaO.2,BaO/,ZnO.1,SiO2/BaO,ZnO/SiO2,ZnO + BaO,BaO/ZnO,Y2O3,Ta2O5,Li2O,Reference,Composition - mol %,Gd2O3,WO3,Sb2O3,GeO2,Yb2O3,SnO2,Measured properties,nd,dRT,(nd− 1)/dRT,Ti,Predicted properties,Pn[for nd],Pd[for dRT],Pref[for (nd− 1)/dRT],As2O3,RO,R2O,F,SiO2+ B2O3,Y2O3+ ZnO,Bi2O3,CdO,MgO,TeO2,PbO,HfO2,REmOn+ TiO2+ Nb2O5+ ZrO2+,Bi2O3+ WO3,SiO2+ B2O3+ Alk2O + MgO +,CaO + SrO + BaO + ZnO,O,K2O,Na2O,Bi2O5,CaF2,Na2O + K2O + BaO + ZnO in the total amount of,where,and,fluoride or fluorides substituting for the above oxide or oxides partially,"or entirely, a total amount of F contained in the fluoride or fluorides",being 0-11%.,P2O5,AlF3,MgF2,SrF2,BaF2,YF3,LaF3,GdF3,LiF,Total,Nd,N d,Δ n(ppm),K2SiF6,total,ν d,Unnamed: 13,KHF2,NaF,KF,Na2O and/or K2O in the total amount of,being 0-2%.,Al2O,V2O5,TiO2+ Nb2O5,TiO2+ Nb2O5+ WO3+ Bi2O3+,GeO2+ TeO2+ 0.5 * Li2O,Sum of (TiO2+ Nb2O5),Total sum of monovalent metal oxides R2O,Properties,Density,(g/cm3),n532,nD,n633,Tg,Tx,Tx− Tg,Li2O + Na2O + K2O,MgO + CaO +,BaO + SrO + ZnO,R2O + RO + ZnO,Nb2O5+ TiO2+ WO3,CeO2,Density (g/cm3),Tgonset(° C.),Txonset(° C.),Txonset− Tgonset(° C.),Li2O + Na2O +,BaO + SrO +,R2O + RO +,ZnO.2,Nb2O5+ TiO2+,Vd,Strain Point (° C.),Annealing Point,(° C.),Softening Point,(° C.).1,"CTE (<300° C.,",on heating) in,ppm/° C.,Tg onset(° C.),Tx onset(° C.),Tx onset− Tg onset,(° C.).2,Liquidus internal,(° C.).3,AO weight loss,"(mg/mm2),",Nanostrip,"(mg/mm2),.1",Poissons Ratio,Shear Modulus,(GPa),Young's Modulus,(GPa).1,CTE(α)(107/° C.),Nanostrip (mg/cm2),MgO + CaO + BaO +,SrO + ZnO,Annealing Point (° C.),Softening point (° C.),"CTE (<300° C., on heating)",ppm/(° C.),Tx onset− Tg onset(° C.),Liquidus Internal (° C.),Base glass with CeO2addition,(0.001-1 mol %),R2O (Li2O + Na2O + K2O),RO + ZnO(MgO + CaO +,BaO + SrO + ZnO),Density (g/ccm3),Strain Point,Softening point,Txonset(° C.) (ExPC1 onset ° C.),Txonset− Tgonset,K2O.1,Nb2O5+,TiO2+ WO3,Tg onset,Tx onset,Tx onset−,Tg onset.1,n519,R2O Li2O +,Na2O +,MgO +,CaO +,BaO +,SrO +,R2O +,RO +,TiO2+,WO3.1,SnO,La2O3+,Ta2O5+,Y2O3+,Annealing,Point (° C.),(mg/mm2),"117 (0.001% CeO2), 118 (0.01% CeO2),","119 (0.1% CeO2), 120 (0.8% CeO2)",121 (0.8% CeO2),"122 (0.02% CeO2), 123 (0.2% CeO2)","124 (0.02% CeO2), 125 (0.2% CeO2)","126 (0.2% CeO2), 127 (0.02% CeO2)",ZnO),Point,Softening,Point.1,Poissons,Ratio,Shear,Modulus,Young's,Modulus.1,Tg onset(° C.).1,Density (g/cm2),a (10−7/° C.),WO5,Tg onset(C),Tx onset(C),in ppm/° C.,Na2CO3,NaNO3,Na3AlF6,KBr,Monovalent metal oxides R2O,Divalent metal oxides RO,Total modifiers (R2O + RO),Pb + F + T1,Provisos,Predicted refractive Index,MgO + CaO + SrO + BaO,Li2O + Na2O + K2O + MgO +,CaO + SrO + BaO,PbO + Bi2O3+ Ta2O5,Fe2O3,"D, g/cm3",nC,nF,"An. Pt,",° C.,"Strain P,",° C..1,"D, g/cm3.1",RI,Pb + F,1.662,Unnamed: 1,Unnamed: 2,Unnamed: 3,1.6717,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,1.6616,Unnamed: 11,Unnamed: 12,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,1.675,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,1.6784,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,1.728,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,1.6847,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,1.7791,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,1.8343,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,1.8199,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,1.8538,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,SiO2+ TiO2+ ZrO2,PbO + TiO2+ ZrO2+ Nb2O5,Refractive Index,Dilation coefficient,Devitrification,Liquidus,Liquidus Viscosity (Pa · s),α30/300,[10−7/° C.],Σ,nd[7K/h],vd[7K/h],"Pg, F","ΔPg, F","α(20, 300° C.)[10−6/K]",Tg [° C.],T(η = 107.6dPas) [° C.],ΔT = [T(η = 107.6)-,T(η = 1013dPas)] [K],ρ [g/cm3],60.0,40.0,20.0,20.0.1,20.0.2,20.0.3,20.0.4,20.0.5,10.0,80.0,50.0,40.0.1,40.0.2,40.0.3,40.0.4,32.0,36.0,0.0,6.0,2.0,8.0,6.0.1,8.0.1,2.0.1,5.17,2.11,(2La2O3· 9TiO2)/11,(La2O30Nb205)/2,(La2O3· 2MoO3· B2O3)/4,(La2O3· B2O3)/2,(Y2O3· B2O3)/2,(Gd2O3· B2O3)/2,(ZrO2· SiO2)/2,44.0,4.0,4.0.1,4.0.2,4.0.3,12.0,4.0.4,4.0.5,4.95,26.0,30.0,0.0.1,2.0.2,2.0.3,2.1,(2La2O3•9TiO2)/11,(La2O3•Nb2O5)/2,(La2O3•2MoO3•B2O3)/4,(La2O3•B2O3)/2,(Y2O3•B2O3)/2,(Gd2O3•B2O3)/2,(ZrO2•SiO2)/2,56.0,0.0.2,5.16,2.22,Unnamed: 5,70.0,4.91,Composition-mol. %,Composition-wt %,La2O3.1,B2O3.1,CaO.1,Nb2O5.1,TiO2.1,Li2O.1,ZrO2.1,SrO.1,CaF2.1,vd,nC (656.27),nF (486.13),nd− (1.12 + 0.18 * dRT),nd− (2.23 − 0.71 * Ti),Pn− (1.12 + 0.18 * Pd),Pn− (2.23 − 0.71 * Ti),Na2O.1,Al2O3.1,P2O5.1,KF.1,NaF.1,As2O3.1,nd− ( 1.12 + 0.18 * dRT),MgO.1,Sb2O3.1,Gd2O3.1,(Nb2O5+ TiO2),(SiO2+ B2O3),(La2O3+ Gd2O3),(CaO + SrO + BaO),(PbO + V2O5),CaO/(Li2O + Na2O + K2O + MgO +,CaO + SrO + BaO + ZnO) (in wt %),SiO2/(SiO2+ B2O3) (in wt %),(CaO + SrO + BaO)/(Nb2O5+ TiO2),(in wt %),fluorine,(Y2O3+ GeO2+ Ta2O5+ Al2O3+,MoO3+ PbO + TeO2+ FeO + Fe2O3),(RO + Alk2O),(Bi2O3+ PbO),RE2O3,(RE2O3+ TiO2+ Nb2O5+,ZrO2+ Bi2O3+ WO3),(SiO2+ B2O3+ Alk2O + MgO +,CaO + SrO + BaO + ZnO),ΣBaO + La2O3+ ZrO2+,Nb2O5+ TiO2,SO3,Ag2O,CuO,Cr2O3,Nb2O3,MoO3,Au2O3,PdO2,Dy2O3,Σ (La2O3+,ZrO2),Σ (La2O3+.1,Nb2O5+.1,ZrO2)/,[g/cm3],νd,TI(10 mm),420 nm,TI(10 mm).1,460 nm,Clarifying,agent,Guaranteed values of variables,ρ[g/cm3],Guaranteed values or variables,"SiO2,","Li2O,","Na2O,","K2O,","CaO,","ZnO,","B2O3,","Al2O3,","TiO2,","ZrO2,","Gd2O,3","P2O5,",Sb2O3.,K20,B203,Al203,La203,Bi203,Ti02,Zr02,Sn02,Nb206,Ta205,Y203,Yb203,W03,aTotal content by weight of TiO2+ ZrO2+ Nb2O5+ Ta2U3oxides is in the range 0.3-12%,"aFurther, the glass contains by weight one oxide or more oxides from the group of the mentioned oxides at total level 15%,","bBy weight, total amount of the Pb, Ba, As oxides is below 0.1%, total content of Ti and La oxides is below 5% and total content of Nb, Ta, Yb, Y, W, Bi, Zr oxides is below 5%, wherein it contains not more than 1% of each of the Nb, Ta, Yb oxides, and not more than 3% of each of the Y, W, Bi, Zr oxides. The total content by weight of ZnO and CaO is higher than 15%, CaO is partly replaced by SrO. The glass also contains 0.5-3% Li2O. Total content by weight of Na2O and Li2O is less than 17%. Total content by weight of other components, regardless of Sb2O3, Nd2O5and Er2O3is less than 2%.",α20/300,[ppm/K],Tm [° C.],Al2O3+ SrO,At/° C.,Cs2O,Sum,nd [7K/h],νd [7K/h],pg·F [7K/h],ΔPg·F,(10−4)[7K/h],α20-300,(10−6×,K−1),Tg (° C.),ρ (g/cm3),Pg·F [7K/h],Thickness (mm),n @ 532 nm,Reflection factor P,La2O3+ Y2O3+ RE2O3,La2O3+ Y2O3+ RE2O3+ B2O3,abs(min)/CuO(wt %),abs(min) at (nm),abs(700 nm)/CuO(wt %),(abs(700 nm) −,abs(min))/CuO(wt %),AlO1.5,BO1.5,GdO1.5,KO0.5,LaO1.5,NbO2.5,YO1.5,TaO2.5,SbO2.5,AsO2.5,Cation,parameter,[mol %],SiO2[mol %],[mol %].1,Tmax[° C.],nd2/Density,[mol %].2,Tmax[°C],Unnamed: 33,Tg (°C),368,661,648,646,642,624,Sum of (Nb2O5+ La2O3+ Gd2O3+ Y2O3),Total sum of rare earth metal oxides REmOn,Sum of (R2O + RO),V + Fe + Cu + Cr +,Co + Ni + Th,Sum of (B2O3+ SiO2),Composition (weight %),Total iron (expressed as Fe2O3),FeO/total iron,Exchange conditions,Electric field (V/mm),Temperature (° C.),Time (hours),Diffusion depth (μm),n500,before,after,TL410(%),before.1,after.1,Unnamed: 25,Total iron (expressed,as Fe2O3),total iron (expressed as Fe2O3),redox (FeO/total iron),MnO,Unnamed: 10,redox,ZnS,"impurities (HfO2, Cr2O3and/or",P2O3),p2o5,n (at 633 nm),Tliquidus(° C.),ηliquidus(poise),Cl,1.638,3.38,71,659,698,845,"1,038","1,134","1,199","1,283",Not,evaluated,Not.1,evaluated.1,Degree of,corrosion,Outer,appearance,Nd.1,Chemical,SrO + BaO,Property,Abbe Number,(FU),Refractive,Index (BA),CTE,(cm × 10−7/cm),Log 3,Temp,Liquidus Temp,ΔT (° C.),MgO + CaO + SrO +,(BA),Temp (° C.),RmOn,TeO2+ PbO + GeO2+ Tl2O,Ag2O + Cu2O + CuO +,As2O3+ Sb2O3,P2O5−SiO2,TiO2+ Nb2O5+ WO3+ GeO2+,Bi2O3+ TeO2,TiO2+ Nb2O5+ WO3+ V2O5+,GeO2+ Bi2O3+ TeO2,Total sum of divalent metal oxides RO,Total sum of alkali metal oxides Alk2O,Sum of (SiO2+ GeO2),Sum of (TeO2+ SnO2+ SnO)
863,,,,,,,15.0,,,50.0,,14.5,0.5,5.0,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,,1.66,,,,,,,,,,,,,,,,,,,,,,,,,10.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,621.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3,,1247.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
864,,,,,,,15.0,,15.0,33.0,,2.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,0.3,5.0,,,,1.64,,,,,,,,,,,,,,,,5.0,,,,,,,,,10.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,538.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.3,,944.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
865,,,,,,,15.0,5.0,,43.0,,2.0,5.0,5.0,,5.0,,,,,,,,,,,,,,,,,5.0,,,,,,0.3,5.0,,,,1.68,,,,,,,,,,,,,,,,,,,,,,,,,1.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,599.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5,,1138.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
866,,,,,,,15.0,5.0,13.2,26.3,,15.0,0.5,5.0,,,,,,,,,,,,,,,,,,,5.0,,,,,,,5.0,,,,1.73,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,538.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8,,987.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
867,,,,,,,15.0,5.0,15.0,35.0,5.0,2.0,5.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,,1.67,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,581.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,,1018.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
868,,,,,,,15.0,,12.7,25.3,5.0,2.0,0.5,14.5,,,,,,,,,,,,,,,,,,,5.0,,,,,,0.3,,,,,1.67,,,,,,,,,,,,,,,,,,,,,,,,,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,494.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.2,,885.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
869,,,,,,,30.0,,,38.0,,2.0,0.5,14.5,,,,,,,,,,,,,,,,,,,,,,,,,0.3,5.0,,,,1.76,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,616.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.4,,1096.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
870,,,,,,,15.0,5.0,,33.3,5.0,6.7,0.5,5.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,0.3,5.0,,,,1.7,,,,,,,,,,,,,,,,4.5,,,,,,,,,10.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,596.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.4,,1076.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
871,,,,,,,24.7,5.0,,33.3,,2.0,5.0,5.0,,,,,,,,,,,,,,,,,,,5.0,,,,,,0.3,,,,,1.73,,,,,,,,,,,,,,,,5.0,,,,,,,,,10.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,587.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1,,1025.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
872,,,,,,,>12,,,20,,0.5,,2,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
873,,,,,,,"32,",,,"52,",,"26,",,"14.5,",,,,,"1, and",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11, and",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
